latitude,longitude,city,state,county,zip_code,fips_code
33.9412,-84.2135,Norcross,GA,Gwinnett County,30071,13135
38.5799,-121.4962,Sacramento,CA,Sacramento County,95814,06067
43.3194,-87.9517,Grafton,WI,Ozaukee County,53024,55089
39.9525,-75.1636,Philadelphia,PA,Philadelphia County,19107,42101
26.962,-82.3526,Englewood,FL,Sarasota County,34223,12015
36.8251,-119.7021,Clovis,CA,Fresno County,93612,06019
46.8771,-96.7898,Fargo,ND,Cass County,58102,38017
28.5347,-81.387200000000007,Orlando,FL,Orange County,32805,12095
37.8715,-122.273,Berkeley,CA,Alameda County,94704,06001
42.3591,-71.0639,Boston,MA,Suffolk County,02114,25025
39.5009,-89.7679,Virden,IL,Macoupin County,62690,17117
43.1547,-77.6155,Rochester,NY,Monroe County,14614,36055
44.0581,-121.3153,Bend,OR,Deschutes County,97703,NA
41.1544,-96.0422,Papillion,NE,Sarpy County,68046,31153
39.8289,-84.8902,Richmond,IN,Wayne County,47374,18177
39.2667,-81.5615,Parkersburg,WV,Wood County,26101,54107
38.5792,-92.173,Jefferson City,MO,Cole County,65101,29027
33.7559,-84.3898,Atlanta,GA,Fulton County,30303,13121
41.8238,-71.4125,Providence,RI,Providence County,02903,44007
39.5505,-107.32470000000001,Glenwood Springs,CO,Garfield County,81601,08045
33.0462,-96.9941,Lewisville,TX,Denton County,75057,48121
38.9171,-77.0003,Washington,DC,District of Columbia,20002,11001
40.6804,-73.4551,Massapequa Park,NY,Nassau County,11762,36059
40.2726,-76.8875,Harrisburg,PA,Dauphin County,17102,42043
38.9381,-77.0451,Washington,DC,District of Columbia,20011,11001
38.8875,-77.0364,Washington,DC,District of Columbia,20004,11001
44.9833,-93.2666,Minneapolis,MN,Hennepin County,55401,27053
34.0433,-118.2495,Los Angeles,CA,Los Angeles County,90014,06037
27.9508,-82.4571,Tampa,FL,Hillsborough County,33602,12057
42.5864,-82.9169,Clinton Township,MI,Macomb County,48036,26099
38.8048,-77.0469,Alexandria,VA,Alexandria City,22314,51510
34.0192,-118.496,Santa Monica,CA,Los Angeles County,90401,06037
33.5807,-112.2373,Peoria,AZ,Maricopa County,85345,04013
29.5688,-97.9647,Seguin,TX,Guadalupe County,78155,48187
43.6185,-116.1999,Boise,ID,Ada County,83702,16001
37.6014,-120.9572,Ceres,CA,Stanislaus County,95307,06099
44.2928,-72.6793,Montpelier,VT,Washington County,05602,50023
26.1223,-80.1378,Fort Lauderdale,FL,Broward County,33301,12011
43.0384,-87.9057,Milwaukee,WI,Milwaukee County,53202,55079
41.0998,-80.6495,Youngstown,OH,Mahoning County,44503,39099
41.5235,-90.5778,Davenport,IA,Scott County,52801,19163
40.064,-80.7209,Wheeling,WV,Ohio County,26003,54051
40.7061,-73.6203,Hempstead,NY,Nassau County,11550,36059
41.9738,-91.6768,Cedar Rapids,IA,Linn County,52404,19011
41.7947,-87.5932,Chicago,IL,Cook County,60637,17031
34.7575,-112.4539,Chino Valley,AZ,Yavapai County,86323,04025
35.1495,-90.0489,Memphis,TN,Shelby County,38103,47157
39.2191,-121.0611,Grass Valley,CA,Nevada County,95945,06057
41.2459,-75.8813,Wilkes Barre,PA,Luzerne County,18701,42079
43.9553,-86.4526,Ludington,MI,Mason County,49431,26105
47.6056,-122.333,Seattle,WA,King County,98104,53033
42.28,-83.7458,Ann Arbor,MI,Washtenaw County,48104,26161
44.8016,-68.7712,Bangor,ME,Penobscot County,04401,23019
44.9513,-93.0946,Saint Paul,MN,Ramsey County,55101,27123
41.7673,-72.6762,Hartford,CT,Hartford County,06103,09003
44.6689,-90.1718,Marshfield,WI,Wood County,54449,55019
39.2903,-76.6121,Baltimore,MD,Baltimore City,21202,24510
37.6428,-120.9918,Modesto,CA,Stanislaus County,95354,06099
35.6145,-88.814,Jackson,TN,Madison County,38301,47075
40.925,-98.342,Grand Island,NE,Hall County,68801,31079
44.5192,-88.0198,Green Bay,WI,Brown County,54303,55009
39.0484,-95.6781,Topeka,KS,Shawnee County,66612,20177
40.0149,-105.27,Boulder,CO,Boulder County,80302,08013
40.1672,-105.1019,Longmont,CO,Boulder County,80501,08013
35.9132,-79.0558,Chapel Hill,NC,Orange County,27516,37037
32.7792,-96.8004,Dallas,TX,Dallas County,75202,48113
39.7594,-84.1916,Dayton,OH,Montgomery County,45402,39113
38.2006,-84.874,Frankfort,KY,Franklin County,40601,21005
40.6767,-95.8592,Nebraska City,NE,Otoe County,68410,31131
43.4195,-83.9508,Saginaw,MI,Saginaw County,48601,26017
46.8172,-95.8453,Detroit Lakes,MN,Becker County,56501,27005
27.7674,-82.6409,Saint Petersburg,FL,Pinellas County,33701,12103
39.6295,-79.9559,Morgantown,WV,Monongalia County,26505,54061
26.7097,-80.0642,West Palm Beach,FL,Palm Beach County,33401,12099
35.0527,-78.8784,Fayetteville,NC,Cumberland County,28301,37051
43.0947,-75.2758,New Hartford,NY,Oneida County,13413,36043
35.4657,-97.5128,Oklahoma City,OK,Oklahoma County,73102,40109
30.4382,-84.2803,Tallahassee,FL,Leon County,32301,12073
36.0999,-80.2442,Winston Salem,NC,Forsyth County,27101,37067
39.7392,-104.991,Denver,CO,Denver County,80202,08031
30.4209,-87.2169,Pensacola,FL,Escambia County,32501,12033
38.3032,-77.4605,Fredericksburg,VA,Fredericksburg City,22401,51177
33.6357,-96.6089,Sherman,TX,Grayson County,75090,48181
42.9909,-71.4502,Manchester,NH,Hillsborough County,03104,33011
33.7533,-78.9172,Myrtle Beach,SC,Horry County,29579,45051
35.8423,-90.7042,Jonesboro,AR,Craighead County,72401,05031
